,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,h3_level_4
317,2021-01-31,36.35601466020605,34.670707523263026,35.321518034206235,36.35584393699962,36.3561254305099,-1.3402990866500077,-1.3402990866500077,-1.3402990866500077,-1.3402990866500077,-1.3402990866500077,-1.3402990866500077,0.0,0.0,0.0,35.015715573556044,8429b55ffffffff
318,2021-02-28,36.35637088935663,34.95029443010945,35.54742422539375,36.356080510725455,36.356682530885195,-1.1107714567795228,-1.1107714567795228,-1.1107714567795228,-1.1107714567795228,-1.1107714567795228,-1.1107714567795228,0.0,0.0,0.0,35.24559943257711,8429b55ffffffff
319,2021-03-31,36.356765285916204,35.72968595701143,36.318358785496066,36.35615259425548,36.357318710528176,-0.3307207482000841,-0.3307207482000841,-0.3307207482000841,-0.3307207482000841,-0.3307207482000841,-0.3307207482000841,0.0,0.0,0.0,36.02604453771612,8429b55ffffffff
320,2021-04-30,36.35714696000611,36.512275460817385,37.14069054158063,36.3562468555599,36.35806047330915,0.4603046010421745,0.4603046010421745,0.4603046010421745,0.4603046010421745,0.4603046010421745,0.4603046010421745,0.0,0.0,0.0,36.81745156104829,8429b55ffffffff
321,2021-05-31,36.35754135656569,37.51606954750115,38.143288369925564,36.356324617833046,36.35876507754633,1.4771848972074095,1.4771848972074095,1.4771848972074095,1.4771848972074095,1.4771848972074095,1.4771848972074095,0.0,0.0,0.0,37.8347262537731,8429b55ffffffff
322,2021-06-30,36.3579230306556,37.9776124297953,38.60114951581035,36.356363478524855,36.35946722018762,1.9397390945267308,1.9397390945267308,1.9397390945267308,1.9397390945267308,1.9397390945267308,1.9397390945267308,0.0,0.0,0.0,38.29766212518233,8429b55ffffffff
323,2021-07-31,36.35831742721517,37.9395980149211,38.54067317206686,36.35646548587937,36.360233093048464,1.8701540916819874,1.8701540916819874,1.8701540916819874,1.8701540916819874,1.8701540916819874,1.8701540916819874,0.0,0.0,0.0,38.22847151889716,8429b55ffffffff
324,2021-08-31,36.35871182377474,37.46506987993082,38.09226684810601,36.356337972286596,36.36094982069397,1.4251782122621937,1.4251782122621937,1.4251782122621937,1.4251782122621937,1.4251782122621937,1.4251782122621937,0.0,0.0,0.0,37.78389003603694,8429b55ffffffff
325,2021-09-30,36.35909349786465,36.23665622862673,36.83115122639035,36.35632151511838,36.36166005677242,0.17301696587073007,0.17301696587073007,0.17301696587073007,0.17301696587073007,0.17301696587073007,0.17301696587073007,0.0,0.0,0.0,36.53211046373538,8429b55ffffffff
326,2021-10-31,36.35948789442423,34.810404562812266,35.42476516055057,36.3563178085577,36.362368576341574,-1.2536039895296873,-1.2536039895296873,-1.2536039895296873,-1.2536039895296873,-1.2536039895296873,-1.2536039895296873,0.0,0.0,0.0,35.10588390489454,8429b55ffffffff
327,2021-11-30,36.359869568514135,33.98451500369664,34.610762904599106,36.35639318934847,36.36309544305205,-2.05828573434577,-2.05828573434577,-2.05828573434577,-2.05828573434577,-2.05828573434577,-2.05828573434577,0.0,0.0,0.0,34.30158383416836,8429b55ffffffff
328,2021-12-31,36.36026396507371,34.097298410881265,34.70557475772554,36.35619396154547,36.36397934570605,-1.9540454946476402,-1.9540454946476402,-1.9540454946476402,-1.9540454946476402,-1.9540454946476402,-1.9540454946476402,0.0,0.0,0.0,34.406218470426076,8429b55ffffffff
329,2022-01-31,36.360658361633284,34.80847350717571,35.43096965919974,36.35602433605952,36.364901792958506,-1.2673817075905056,-1.2673817075905056,-1.2673817075905056,-1.2673817075905056,-1.2673817075905056,-1.2673817075905056,0.0,0.0,0.0,35.09327665404278,8429b55ffffffff
330,2022-02-28,36.36101459078387,34.88550539472232,35.53614028735152,36.356092489861744,36.3655984577492,-1.1447107550761741,-1.1447107550761741,-1.1447107550761741,-1.1447107550761741,-1.1447107550761741,-1.1447107550761741,0.0,0.0,0.0,35.21630383570769,8429b55ffffffff
331,2022-03-31,36.36140898734344,35.69067720631412,36.31614684541799,36.355908188032416,36.36651163222892,-0.3591428245441646,-0.3591428245441646,-0.3591428245441646,-0.3591428245441646,-0.3591428245441646,-0.3591428245441646,0.0,0.0,0.0,36.00226616279927,8429b55ffffffff
332,2022-04-30,36.361790661433346,36.505705714358704,37.10660942088547,36.35563914593142,36.36781800785555,0.4305975034418792,0.4305975034418792,0.4305975034418792,0.4305975034418792,0.4305975034418792,0.4305975034418792,0.0,0.0,0.0,36.79238816487523,8429b55ffffffff
333,2022-05-31,36.362185057992924,37.54161390135093,38.18132089523372,36.355637702023785,36.36883581119362,1.4983699800134402,1.4983699800134402,1.4983699800134402,1.4983699800134402,1.4983699800134402,1.4983699800134402,0.0,0.0,0.0,37.86055503800637,8429b55ffffffff
334,2022-06-30,36.36256673208283,37.965456242614344,38.62150843146373,36.355570482261435,36.3696701570714,1.9318928283802232,1.9318928283802232,1.9318928283802232,1.9318928283802232,1.9318928283802232,1.9318928283802232,0.0,0.0,0.0,38.29445956046305,8429b55ffffffff
335,2022-07-31,36.362961128642404,37.948861792650476,38.56703924766347,36.35530709049633,36.37089404430094,1.8637990087782166,1.8637990087782166,1.8637990087782166,1.8637990087782166,1.8637990087782166,1.8637990087782166,0.0,0.0,0.0,38.22676013742062,8429b55ffffffff
336,2022-08-31,36.36335552520198,37.53840642862588,38.13846694661165,36.35530390132665,36.37206320529874,1.4741747266282197,1.4741747266282197,1.4741747266282197,1.4741747266282197,1.4741747266282197,1.4741747266282197,0.0,0.0,0.0,37.8375302518302,8429b55ffffffff
337,2022-09-30,36.36373719929189,36.23833147826465,36.85445107038206,36.35521048977068,36.37298227742007,0.18457612487004485,0.18457612487004485,0.18457612487004485,0.18457612487004485,0.18457612487004485,0.18457612487004485,0.0,0.0,0.0,36.54831332416194,8429b55ffffffff
338,2022-10-31,36.36413159585146,34.78315089422319,35.38245569694241,36.354935371635975,36.374249610172306,-1.2825871588381283,-1.2825871588381283,-1.2825871588381283,-1.2825871588381283,-1.2825871588381283,-1.2825871588381283,0.0,0.0,0.0,35.081544437013335,8429b55ffffffff
339,2022-11-30,36.36451326994137,33.984720611382905,34.575806036407634,36.35450161113401,36.37542636699863,-2.0791622052444696,-2.0791622052444696,-2.0791622052444696,-2.0791622052444696,-2.0791622052444696,-2.0791622052444696,0.0,0.0,0.0,34.2853510646969,8429b55ffffffff
340,2022-12-31,36.36490766650095,34.109127773016915,34.7345014084417,36.354183023746465,36.37651769593474,-1.9565652893202543,-1.9565652893202543,-1.9565652893202543,-1.9565652893202543,-1.9565652893202543,-1.9565652893202543,0.0,0.0,0.0,34.408342377180695,8429b55ffffffff
341,2023-01-31,36.36530206306052,34.870072918611264,35.49369159495942,36.35375249740215,36.37781401484929,-1.1946458980747479,-1.1946458980747479,-1.1946458980747479,-1.1946458980747479,-1.1946458980747479,-1.1946458980747479,0.0,0.0,0.0,35.17065616498577,8429b55ffffffff
342,2023-02-28,36.3656582922111,34.895823837957025,35.49191901137191,36.35352494155893,36.378721799168574,-1.1799156721900832,-1.1799156721900832,-1.1799156721900832,-1.1799156721900832,-1.1799156721900832,-1.1799156721900832,0.0,0.0,0.0,35.18574262002102,8429b55ffffffff
343,2023-03-31,36.36605268877067,35.6684925681318,36.28537764899858,36.352899273777375,36.37980215759509,-0.387728845928109,-0.387728845928109,-0.387728845928109,-0.387728845928109,-0.387728845928109,-0.387728845928109,0.0,0.0,0.0,35.97832384284256,8429b55ffffffff
344,2023-04-30,36.36643436286058,36.46583059695722,37.07787039103924,36.352468779168284,36.38093847439296,0.4016999684778127,0.4016999684778127,0.4016999684778127,0.4016999684778127,0.4016999684778127,0.4016999684778127,0.0,0.0,0.0,36.768134331338395,8429b55ffffffff
345,2023-05-31,36.36682875942016,37.58159441090856,38.19588700935064,36.35199394311094,36.38251694958487,1.5199355035738344,1.5199355035738344,1.5199355035738344,1.5199355035738344,1.5199355035738344,1.5199355035738344,0.0,0.0,0.0,37.88676426299399,8429b55ffffffff
346,2023-06-30,36.36721043351007,37.95912309449008,38.610533872697495,36.35163122459267,36.383585311427524,1.923869275950247,1.923869275950247,1.923869275950247,1.923869275950247,1.923869275950247,1.923869275950247,0.0,0.0,0.0,38.29107970946031,8429b55ffffffff
347,2023-07-31,36.367604830069645,37.92500770676689,38.57101621944327,36.35108749083658,36.38462865956041,1.8579717234975017,1.8579717234975017,1.8579717234975017,1.8579717234975017,1.8579717234975017,1.8579717234975017,0.0,0.0,0.0,38.225576553567144,8429b55ffffffff
348,2023-08-31,36.367999226629216,37.59315653307301,38.18074965821877,36.35024964383042,36.38574676178041,1.5229565140333148,1.5229565140333148,1.5229565140333148,1.5229565140333148,1.5229565140333148,1.5229565140333148,0.0,0.0,0.0,37.890955740662534,8429b55ffffffff
349,2023-09-30,36.368380900719124,36.25533318196662,36.88420361586757,36.34971844517411,36.38705035597725,0.1948851526179516,0.1948851526179516,0.1948851526179516,0.1948851526179516,0.1948851526179516,0.1948851526179516,0.0,0.0,0.0,36.563266053337074,8429b55ffffffff
350,2023-10-31,36.368775297278695,34.73746784325323,35.35247797255766,36.34940059839611,36.388178822250936,-1.3119484854023045,-1.3119484854023045,-1.3119484854023045,-1.3119484854023045,-1.3119484854023045,-1.3119484854023045,0.0,0.0,0.0,35.05682681187639,8429b55ffffffff
351,2023-11-30,36.369156971368604,33.94972294938445,34.58228749008521,36.34883361930383,36.38937895899987,-2.099003352333916,-2.099003352333916,-2.099003352333916,-2.099003352333916,-2.099003352333916,-2.099003352333916,0.0,0.0,0.0,34.27015361903469,8429b55ffffffff
352,2023-12-31,36.36955136792818,34.10458284408134,34.712185406244814,36.34828809879266,36.39096584980032,-1.9574684770892177,-1.9574684770892177,-1.9574684770892177,-1.9574684770892177,-1.9574684770892177,-1.9574684770892177,0.0,0.0,0.0,34.41208289083897,8429b55ffffffff
353,2024-01-31,36.36994576448775,34.96215339534702,35.53451675899725,36.34794607825997,36.39232595473494,-1.1221798051059042,-1.1221798051059042,-1.1221798051059042,-1.1221798051059042,-1.1221798051059042,-1.1221798051059042,0.0,0.0,0.0,35.24776595938185,8429b55ffffffff
354,2024-02-29,36.370314716108005,34.99205967142088,35.59680216180679,36.347417323689335,36.393445944276976,-1.0781248190881094,-1.0781248190881094,-1.0781248190881094,-1.0781248190881094,-1.0781248190881094,-1.0781248190881094,0.0,0.0,0.0,35.292189897019895,8429b55ffffffff
355,2024-03-31,36.370709112667576,35.75408074983401,36.387671834040376,36.3463947911753,36.394701146223376,-0.30250304770381303,-0.30250304770381303,-0.30250304770381303,-0.30250304770381303,-0.30250304770381303,-0.30250304770381303,0.0,0.0,0.0,36.06820606496376,8429b55ffffffff
356,2024-04-30,36.371090786757485,36.545205321392615,37.19783099996361,36.34577906185415,36.39611173157107,0.49079483824372444,0.49079483824372444,0.49079483824372444,0.49079483824372444,0.49079483824372444,0.49079483824372444,0.0,0.0,0.0,36.86188562500121,8429b55ffffffff
357,2024-05-31,36.371485183317056,37.522945484438495,38.11052291862128,36.34523712133398,36.397169256347176,1.4564034285955643,1.4564034285955643,1.4564034285955643,1.4564034285955643,1.4564034285955643,1.4564034285955643,0.0,0.0,0.0,37.82788861191262,8429b55ffffffff
358,2024-06-30,36.371866857406964,38.004501080181946,38.6281319556772,36.345043816475425,36.398279467807576,1.9474078627689633,1.9474078627689633,1.9474078627689633,1.9474078627689633,1.9474078627689633,1.9474078627689633,0.0,0.0,0.0,38.319274720175926,8429b55ffffffff
359,2024-07-31,36.37226125396654,37.94241525496831,38.56676271511471,36.344798291264304,36.39949295048201,1.877040586282886,1.877040586282886,1.877040586282886,1.877040586282886,1.877040586282886,1.877040586282886,0.0,0.0,0.0,38.24930184024943,8429b55ffffffff
360,2024-08-31,36.37265565052611,37.46014978511014,38.051850221047324,36.3434510469066,36.40098378526727,1.3760151486391967,1.3760151486391967,1.3760151486391967,1.3760151486391967,1.3760151486391967,1.3760151486391967,0.0,0.0,0.0,37.74867079916531,8429b55ffffffff
361,2024-09-30,36.37303732461603,36.22082551087377,36.83324934564604,36.34271759985587,36.402115318473065,0.16020491806945514,0.16020491806945514,0.16020491806945514,0.16020491806945514,0.16020491806945514,0.16020491806945514,0.0,0.0,0.0,36.53324224268548,8429b55ffffffff
362,2024-10-31,36.3734317211756,34.8486911107156,35.464585214556436,36.34146992180877,36.40388593537227,-1.225053117091744,-1.225053117091744,-1.225053117091744,-1.225053117091744,-1.225053117091744,-1.225053117091744,0.0,0.0,0.0,35.14837860408385,8429b55ffffffff
363,2024-11-30,36.37381339526551,34.03718199805883,34.64703150465134,36.34092057284292,36.405420607265185,-2.0364112698813743,-2.0364112698813743,-2.0364112698813743,-2.0364112698813743,-2.0364112698813743,-2.0364112698813743,0.0,0.0,0.0,34.33740212538413,8429b55ffffffff
364,2024-12-31,36.37420779182508,34.10021519614859,34.73678516203483,36.340379570415166,36.40684422816042,-1.9498917500406052,-1.9498917500406052,-1.9498917500406052,-1.9498917500406052,-1.9498917500406052,-1.9498917500406052,0.0,0.0,0.0,34.42431604178447,8429b55ffffffff
365,2025-01-31,36.37460218838465,34.724209349795004,35.32480142688626,36.339998260552335,36.407981973721164,-1.3402990866500506,-1.3402990866500506,-1.3402990866500506,-1.3402990866500506,-1.3402990866500506,-1.3402990866500506,0.0,0.0,0.0,35.0343031017346,8429b55ffffffff
