,index,station_id,latitude,longitude,datacoverage,mindate,maxdate,min_year,max_year,data_period
0,0,COOP:024299,32.88333,-114.46667,0.9996,1948-01-01,1949-08-01,1948,1949,1
1,1,COOP:026250,34.1547,-114.2908,0.9755,1931-01-01,2015-11-01,1931,2015,84
2,2,COOP:029662,32.73333,-114.61667,0.9906,1948-01-01,1974-04-01,1948,1974,26
3,3,COOP:040006,39.03333,-122.43333,0.8618,1960-08-01,1962-12-01,1960,1962,2
4,4,COOP:040010,38.2177,-121.2013,0.9469,1994-01-01,2015-11-01,1994,2015,21
5,5,COOP:040014,34.4938,-118.2713,0.8986,1931-01-01,2013-12-01,1931,2013,82
6,6,COOP:040024,34.58333,-117.41667,0.9772,1959-06-01,1977-09-01,1959,1977,18
7,7,COOP:040029,41.19334,-120.94458,0.9931,1943-11-01,2015-11-01,1943,2015,72
8,8,COOP:040046,33.41667,-116.91667,0.9999,1931-01-01,1948-10-01,1931,1948,17
9,9,COOP:040064,37.86667,-122.03333,0.9256,1957-10-01,1975-08-01,1957,1975,18
10,10,COOP:040088,40.18333,-123.61667,0.9264,1940-12-01,1980-06-01,1940,1980,40
11,11,COOP:040115,34.31667,-118.55,0.9711,1939-09-01,1992-10-30,1939,1992,53
12,12,COOP:040120,37.18333,-121.98333,0.9587,1948-01-01,1950-01-01,1948,1950,2
13,13,COOP:040124,37.16667,-121.81667,0.9527,1948-01-01,1949-09-01,1948,1949,1
14,14,COOP:040133,32.83333,-116.76667,1.0,1935-02-01,1945-12-01,1935,1945,10
15,15,COOP:040134,32.8358,-116.7774,0.9994,1951-11-01,1952-09-01,1951,1952,1
16,16,COOP:040136,32.8358,-116.7774,0.9644,1952-10-01,2015-11-01,1952,2015,63
17,17,COOP:040144,34.18211,-118.13827,0.9362,1931-01-01,2015-11-01,1931,2015,84
18,18,COOP:040161,41.4901,-120.5437,0.9901,1931-05-01,2015-11-01,1931,2015,84
19,19,COOP:040163,37.6,-122.11667,1.0,1931-01-01,1942-04-01,1931,1942,11
20,20,COOP:040170,33.28333,-116.86667,1.0,1931-01-01,1944-04-01,1931,1944,13
21,21,COOP:040174,34.16139,-115.80444,1.0,2009-02-01,2010-12-01,2009,2010,1
22,22,COOP:040176,34.5591,-115.7441,0.1166,1948-01-01,2015-11-01,1948,2015,67
23,23,COOP:040188,34.01667,-119.36667,1.0,1946-08-01,1954-06-01,1946,1954,8
24,24,COOP:040192,33.8647,-117.8425,0.9684,1989-08-01,2015-11-01,1989,2015,26
25,25,COOP:040204,35.98333,-119.48333,0.9643,1931-01-01,1982-03-01,1931,1982,51
26,26,COOP:040212,38.573,-122.4405,0.9737,1939-11-01,2015-11-01,1939,2015,76
27,27,COOP:040220,35.71667,-120.16667,1.0,1931-01-01,1942-05-01,1931,1942,11
28,28,COOP:040227,38.01667,-121.76667,0.9871,1879-01-01,1975-07-01,1879,1975,96
29,29,COOP:040230,37.95,-121.8,0.7511,1948-01-01,1950-08-08,1948,1950,2
30,30,COOP:040232,37.9833,-121.7525,0.9643,1955-03-01,2015-11-01,1955,2015,60
31,31,COOP:040235,33.5558,-116.6738,0.9373,1942-10-01,2005-02-01,1942,2005,63
32,32,COOP:040239,34.86667,-119.33333,0.9783,1948-01-01,1971-12-01,1948,1971,23
33,33,COOP:040244,34.51667,-117.21667,0.997,1959-06-01,1987-03-01,1959,1987,28
34,34,COOP:040320,35.11667,-120.56667,0.9861,1959-08-01,1977-06-01,1959,1977,18
35,35,COOP:040321,35.1844,-120.398,0.0162,1993-12-01,2014-01-01,1993,2014,21
36,36,COOP:040322,36.2355,-121.48,0.6869,1931-01-01,2014-01-01,1931,2014,83
37,37,COOP:040325,36.25,-121.41667,1.0,1949-02-01,1952-02-01,1949,1952,3
38,38,COOP:040327,34.21667,-118.16667,0.9962,1931-01-01,1974-06-01,1931,1974,43
39,39,COOP:040332,35.2111,-118.8336,0.9888,2008-08-01,2015-11-01,2008,2015,7
40,40,COOP:040343,36.4914,-118.8253,0.9941,1931-01-01,2015-11-01,1931,2015,84
41,41,COOP:040355,33.9,-117.88333,1.0,1941-11-01,1966-05-01,1941,1966,25
42,42,COOP:040368,38.42694,-122.24833,0.0233,1968-12-01,1998-08-04,1968,1998,30
43,43,COOP:040372,38.42694,-122.24833,1.0,1948-01-01,1969-04-24,1948,1969,21
44,44,COOP:040379,37.0919,-119.5128,0.9863,1931-01-01,2015-11-01,1931,2015,84
45,45,COOP:040383,38.9072,-121.0838,0.9916,1916-11-01,2015-11-01,1916,2015,99
46,46,COOP:040385,38.88333,-121.06667,0.9998,1972-07-01,1984-09-01,1972,1984,12
47,47,COOP:040389,38.95472,-121.08194,1.0,1943-01-01,1948-04-01,1943,1948,5
48,48,COOP:040392,33.338,-118.3305,1.0,2011-01-01,2011-12-01,2011,2011,0
49,49,COOP:040395,33.35,-118.31667,0.9842,1931-01-01,1988-12-01,1931,1988,57
50,50,COOP:040398,35.9,-120.05,1.0,1955-02-01,1961-07-01,1955,1961,6
51,51,COOP:040403,35.1784,-120.73363,1.0,1963-06-01,1971-04-01,1963,1971,8
52,52,COOP:040410,34.13333,-117.9,1.0,1931-01-01,1972-10-01,1931,1972,41
53,53,COOP:040418,34.95,-118.18333,1.0,1936-06-01,1962-12-01,1936,1962,26
